# Time-averaged data for fix 1
# TimeStep c_mytemp c_mypress v_myvol c_PE c_KE
303 1102.82 22.2624 45543.4 -41.5134 5.8446
304 1123.92 12.8761 45550.4 -41.6387 5.95643
305 1146.32 3.50977 45557.5 -41.7707 6.07509
306 1169.83 -5.8071 45564.7 -41.9086 6.19968
307 1194.24 -15.038 45571.8 -42.0513 6.32909
308 1219.33 -24.1319 45578.9 -42.1976 6.46202
309 1244.8 -33.0449 45585.9 -42.3459 6.59702
310 1270.35 -41.7393 45592.9 -42.4946 6.73245
311 1295.66 -50.183 45599.7 -42.6421 6.86659
312 1320.39 -58.3466 45606.3 -42.7866 6.99761
313 1344.17 -66.2095 45612.7 -42.9261 7.12368
314 1366.69 -73.769 45618.9 -43.0589 7.24299
315 1387.6 -81.0256 45624.9 -43.1832 7.35383
316 1406.62 -87.9754 45630.6 -43.2976 7.45463
317 1423.48 -94.6025 45636 -43.4006 7.54398
318 1437.58 -104.668 45641.1 -43.4889 7.61867
319 1448.49 -112.702 45645.8 -43.5602 7.67652
320 1456.38 -118.708 45650.1 -43.6156 7.71835
321 1461.36 -122.993 45654 -43.6555 7.74473
322 1463.43 -125.627 45657.5 -43.68 7.75567
323 1462.69 -128.521 45660.6 -43.6893 7.75179
324 1459.37 -131.185 45663.2 -43.6851 7.73419
325 1453.52 -133.877 45665.4 -43.6675 7.70319
326 1445.13 -136.424 45667.1 -43.636 7.6587
327 1434.28 -137.739 45668.3 -43.5913 7.60123
328 1421.17 -137.868 45669 -43.5345 7.53172
329 1405.95 -136.734 45669.3 -43.4662 7.45109
330 1388.8 -134.191 45669.1 -43.3874 7.36017
331 1369.86 -130.042 45668.4 -43.2988 7.25979
332 1349.44 -126.264 45667.2 -43.2016 7.15158
333 1328.11 -123.946 45665.7 -43.0995 7.03851
334 1306.36 -121.352 45663.6 -42.9949 6.92329
335 1284.6 -118.562 45661.2 -42.8897 6.80793
336 1263.18 -115.65 45658.4 -42.7859 6.69442
337 1242.47 -112.678 45655.1 -42.6854 6.58465
338 1222.79 -110.167 45651.5 -42.59 6.4804
339 1204.46 -108.011 45647.4 -42.5013 6.38326
340 1187.72 -106.206 45643 -42.4206 6.29454
341 1172.76 -104.758 45638.2 -42.3489 6.21525
342 1159.72 -103.655 45633.1 -42.287 6.14612
343 1148.67 -102.876 45627.6 -42.2351 6.08756
344 1139.63 -102.405 45621.7 -42.1936 6.03967
345 1132.58 -102.26 45615.5 -42.1622 6.00232
346 1127.44 -102.511 45608.9 -42.1406 5.97508
347 1124.1 -103.206 45602 -42.1281 5.95735
348 1122.41 -104.3 45594.7 -42.1239 5.94842
349 1122.25 -105.736 45587 -42.1275 5.94753
350 1123.47 -107.457 45579 -42.138 5.954
351 1125.95 -109.407 45570.6 -42.1548 5.96716
352 1129.59 -111.539 45561.8 -42.1774 5.98645
353 1134.3 -113.819 45552.6 -42.2053 6.0114
354 1140 -116.228 45543 -42.238 6.0416
355 1146.63 -118.775 45533 -42.2754 6.07678
356 1154.19 -121.644 45522.6 -42.3172 6.1168
357 1162.72 -125.821 45511.8 -42.3638 6.16204
358 1172.32 -129.99 45500.5 -42.4158 6.2129
359 1182.81 -135.681 45488.8 -42.4721 6.26849
360 1194.06 -140.485 45476.6 -42.5322 6.32813
361 1206.13 -144.451 45463.9 -42.5962 6.39207
362 1219.01 -147.757 45450.7 -42.6641 6.46032
363 1232.67 -150.542 45437 -42.7359 6.53272
364 1247.06 -152.894 45422.7 -42.8112 6.60902
365 1262.15 -154.853 45407.9 -42.8898 6.68896
366 1277.87 -156.405 45392.6 -42.9714 6.77229
367 1294.19 -157.357 45376.8 -43.0557 6.85877
368 1311.05 -157.583 45360.3 -43.1426 6.94813
369 1328.4 -157.988 45343.4 -43.2316 7.04005
370 1346.14 -157.683 45325.8 -43.3224 7.13408
371 1364.15 -156.657 45307.8 -43.4142 7.22953
372 1382.26 -154.852 45289.2 -43.5061 7.32554
373 1400.29 -152.27 45270 -43.5972 7.42109
374 1417.83 -151.781 45250.3 -43.6853 7.514
375 1434.48 -150.165 45230.1 -43.7682 7.60224
376 1450.18 -147 45209.4 -43.8456 7.68545
377 1464.88 -142.501 45188.2 -43.9173 7.76337
378 1478.45 -136.548 45166.5 -43.9826 7.83529
379 1490.61 -128.69 45144.3 -44.0401 7.89973
380 1501.24 -120.931 45121.6 -44.0884 7.95605
381 1510.48 -113.459 45098.6 -44.1293 8.00503
382 1518.41 -105.535 45075.2 -44.1627 8.04708
383 1525.07 -97.426 45051.4 -44.1889 8.08234
384 1530.54 -89.0078 45027.3 -44.2083 8.11135
385 1535.01 -80.5574 45002.8 -44.2219 8.13506
386 1538.67 -73.7577 44978.2 -44.2306 8.15443
387 1541.8 -66.461 44953.2 -44.2361 8.17101
